id,name,util,f0,v3_failed,v3_base,f_guided,delta_guided,delta_random,improvement,demote,promote
31,sys_31,0.6409090909090909,609.7693252349517,False,403.5059031904047,908.9725495040843,299.20322426913265,89.4744873792443,-209.72873688988835,task1_3,task2_1
32,sys_32,0.6454545454545455,363.1209429687098,False,177.80438515800049,281.5429751010126,-81.57796786769723,219.61916663667026,301.19713450436745,task2_3,task1_0
33,sys_33,0.6499999999999999,345.0743065789648,False,247.6519551349503,377.61181747853203,32.53751089956722,122.12333986697317,89.58582896740594,task2_2,task0_0
34,sys_34,0.6545454545454547,364.4748909920295,False,433.436552345777,2209.139054494167,1844.6641635021374,290.7318480243897,-1553.9323154777476,task0_2,task2_0
35,sys_35,0.6590909090909091,3149.844607162006,False,187.09688703004926,460.34241271220884,-2689.502194449797,-917.9326791279342,1771.569515321863,task1_3,task0_1
36,sys_36,0.6636363636363636,1036.4910036876752,False,297.1476594090373,303.0596027685594,-733.4314009191157,26.48619870658581,759.9175996257015,task2_3,task2_2
37,sys_37,0.6681818181818183,342.88579360661373,False,236.02491876275053,499.270411146434,156.38461753982028,74.56335957611813,-81.82125796370215,task0_3,task1_0
38,sys_38,0.6727272727272727,1803.0900519385978,False,406.2396197171338,1114.7886941004647,-688.3013578381331,-89.75491220495424,598.5464456331788,task2_3,task1_0
39,sys_39,0.6772727272727272,295.9637012412427,False,272.17336302037546,899.8741585294471,603.9104572882044,187.3732473030604,-416.537209985144,task0_2,task2_1
40,sys_40,0.681818181818182,2081.2838007855407,False,417.3066818437562,1974.382270417749,-106.90153036779179,-420.8902134605041,-313.98868309271234,task1_3,task1_1
41,sys_41,0.6863636363636364,953.3176950013361,False,308.85356846216314,450.13505385597597,-503.18264114536015,-14.757544216464975,488.4250969288952,task1_3,task1_0
42,sys_42,0.6909090909090909,1266.1901378441034,False,633.5898718724902,1938.2787513840806,672.0886135399771,329.9068887800223,-342.1817247599548,task0_3,task1_0
43,sys_43,0.6954545454545454,4428.934854404591,False,431.3555439427287,974.4210656890319,-3454.513788715559,-30.864907243421204,3423.6488814721374,task2_2,task2_0
44,sys_44,0.7000000000000001,6389.666016207215,False,395.4560866134175,543.8624945133392,-5845.803521693875,-2745.5906935947833,3100.212828099092,task2_3,task2_1
45,sys_45,0.7045454545454545,3595.603247652227,False,454.8280211491354,3503.2006881945103,-92.4025594577165,1571.0789916350773,1663.4815510927938,task2_3,task2_1
46,sys_46,0.709090909090909,680.7385565348658,False,234.79061244017421,301.8341393539833,-378.9044171808825,-87.70367358399855,291.20074359688397,task1_3,task1_0
47,sys_47,0.7136363636363637,1501.52727100201,False,531.6637172166298,1343.829226143229,-157.6980448587808,1364.0063851249101,1521.704429983691,task2_2,task2_0
48,sys_48,0.7181818181818181,513.4449802778338,False,247.82994238946506,332.2851404802191,-181.15983979761467,377.1338578348218,558.2936976324365,task1_3,task0_0
49,sys_49,0.7227272727272727,4909.357450009467,False,-760.73351055478,1746.934757512871,-3162.422692496596,-646.777257880997,2515.645434615599,task1_3,task1_1
50,sys_50,0.7272727272727272,1615.2521744794865,False,365.4315397970193,1630.6823475641665,15.430173084680064,31.05391590889517,15.623742824215107,task0_3,task0_0
51,sys_51,0.7318181818181818,2647.0686896135117,False,462.8359975437641,436.7761380690932,-2210.2925515444185,-46.161056994264165,2164.1314945501545,task2_2,task1_0
52,sys_52,0.7363636363636363,875.9476288697333,False,601.237376577917,672.7395005598738,-203.2081283098595,1866.561814959769,2069.7699432696286,task1_3,task1_0
53,sys_53,0.7409090909090909,3848.3057293108027,False,414.79864949974257,650.5171983390472,-3197.7885309717553,116.78675799292114,3314.5752889646765,task2_3,task2_1
54,sys_54,0.7454545454545455,1844.927364551736,False,1142.895538642322,1593.5707463823312,-251.35661816940478,-59.722318513068146,191.63429965633662,task0_3,task1_0
55,sys_55,0.75,743.767802889576,False,244.8698300018126,1660.1649313969567,916.3971285073807,575.6232185007755,-340.7739100066052,task1_2,task2_1
56,sys_56,0.7545454545454545,793.242353274531,False,294.346984925934,390.076264634628,-403.16608863990297,-82.30851704857166,320.8575715913313,task1_3,task0_3
57,sys_57,0.7590909090909091,3568.27194422227,False,2627.4443669592874,1731.4294738347814,-1836.8424703874887,290.0190972654585,2126.861567652947,task2_3,task2_0
58,sys_58,0.7636363636363637,1213.2817519228486,False,540.2427264760166,452.46325906394327,-760.8184928589053,276.41879172814896,1037.2372845870543,task0_3,task0_1
59,sys_59,0.7681818181818181,3124.885697752948,False,-377.9069464202025,825.5616166766564,-2299.324081076292,-735.9643371530839,1563.359743923208,task1_3,task0_1
60,sys_60,0.7727272727272728,2471.9944396418628,False,531.8234943619615,2471.9944396418628,0.0,-474.78207573655175,-474.78207573655175,task2_3,task2_0
61,sys_61,0.7772727272727272,1686.3723677368491,False,415.19689840701517,1686.3723677368491,0.0,231.39330246903214,231.39330246903214,task1_2,task1_0
62,sys_62,0.7818181818181816,2016.793800293113,False,333.7555105188574,469.7415553308851,-1547.0522449622279,494.4452367796415,2041.4974817418693,task2_2,task2_0
63,sys_63,0.7863636363636365,1759.2978017907146,False,1067.497677972773,1759.2978017907146,0.0,-316.5862362289962,-316.5862362289962,task2_3,task1_1
64,sys_64,0.790909090909091,1081.90165435079,False,587.6535933247391,2474.3211257400794,1392.4194713892894,306.870844768901,-1085.5486266203884,task0_2,task2_0
65,sys_65,0.7954545454545454,2690.2013042330045,False,-763.7724425135293,1723.8635086291245,-966.3377956038801,-646.6661396572587,319.6716559466214,task0_3,task0_1
66,sys_66,0.7999999999999998,713.6403294688592,False,867.8523196833816,4454.654934443527,3741.0146049746677,823.6259183131135,-2917.388686661554,task0_3,task2_0
67,sys_67,0.8045454545454543,1491.0258352165395,False,-31910.680018869632,1232.9368557910047,-258.0889794255347,-2.148186342734243,255.94079308280047,task0_3,task0_2
68,sys_68,0.8090909090909091,1887.9508132876226,False,6608.284932201488,4029.5685051861424,2141.6176918985198,828.4968656125905,-1313.1208262859293,task0_3,task0_1
